Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1740253110.1239214,nan,nan,nan,nan,nan,nan,1740253109.6798275,49.998,25586.578,9757.728,-13.301,-118.319,5.0,1740253109.7360897,81.06,-3.3,1740253109.6169505,0,1740253109.8429203,8.666666666666668,-0.016000000000000007,1740253067.949814,nan,nan,nan,nan,1740253067.949814,nan
1740253112.1509528,nan,nan,nan,nan,nan,nan,1740253111.7139006,50.001,25588.67,9758.14,-13.168,-118.224,5.0,1740253111.7666152,81.07,-3.2,1740253111.643008,0,1740253111.857398,7.840000000000001,-0.016000000000000007,1740253067.949814,nan,nan,nan,nan,1740253067.949814,nan
1740253112.1509528,nan,nan,nan,nan,nan,nan,1740253111.7139006,50.001,25588.67,9758.14,-13.168,-118.224,5.0,1740253111.7666152,81.07,-3.2,1740253111.643008,0,1740253111.857398,7.840000000000001,-0.016000000000000007,1740253067.949814,nan,nan,nan,nan,1740253067.949814,nan
1740253113.1622505,nan,nan,nan,nan,nan,nan,1740253112.704837,50.004,25591.235,9756.777,-12.982,-118.734,5.0,1740253112.759432,81.08,-3.1,1740253112.645994,0,1740253112.86361,7.9333333333333345,-0.016000000000000007,1740253067.949814,nan,nan,nan,nan,1740253067.949814,nan
1740253114.1526585,nan,nan,nan,nan,nan,nan,1740253113.7104678,50.006,25593.615,9759.878,-13.343,-118.225,5.0,1740253113.7684472,81.08,-3.1,1740253113.6495373,0,1740253113.8711798,8.373333333333333,-0.016000000000000007,1740253067.949814,nan,nan,nan,nan,1740253067.949814,nan
1740253116.16772,nan,nan,nan,nan,nan,nan,1740253115.7235148,50.003,25594.623,9754.131,-12.911,-117.659,5.0,1740253115.7703848,81.07,-2.9,1740253115.6517067,0,1740253115.8676822,8.000000000000004,-0.015200000000000007,1740253067.949814,nan,nan,nan,nan,1740253067.949814,nan
1740253117.227213,nan,nan,nan,nan,nan,nan,1740253116.9655144,50.002,25594.913,9757.838,-13.322,-116.96,5.0,1740253116.834796,81.04,-2.8,1740253116.7121093,0,1740253116.9374158,8.386666666666668,-0.016666666666666673,1740253067.949814,nan,nan,nan,nan,1740253067.949814,nan
